,,2,3,4,5,6,7,8,9,10,A
sum,4,H,H,H,H,H,H,H,H,H,H
sum,5,H,H,H,H,H,H,H,H,H,H
sum,6,H,H,H,H,H,H,H,H,H,H
sum,7,H,H,H,H,H,H,H,H,H,H
sum,8,H,H,H,H,H,H,H,H,H,H
sum,9,H,D,D,D,D,H,H,H,H,H
sum,10,D,D,D,D,D,D,D,D,H,H
sum,11,D,D,D,D,D,D,D,D,D,H
sum,12,H,H,S,S,S,H,H,H,H,H
sum,13,S,S,S,S,S,H,H,H,H,H
sum,14,S,S,S,S,S,H,H,H,H,H
sum,15,S,S,S,S,S,H,H,H,H,H
sum,16,S,S,S,S,S,H,H,H,H,H
sum,17,S,S,S,S,S,S,S,S,S,S
sum,18,S,S,S,S,S,S,S,S,S,S
sum,19,S,S,S,S,S,S,S,S,S,S
sum,20,S,S,S,S,S,S,S,S,S,S
sum,21,S,S,S,S,S,S,S,S,S,S
ace,2,H,H,H,D,D,H,H,H,H,H
ace,3,H,H,H,D,D,H,H,H,H,H
ace,4,H,H,D,D,D,H,H,H,H,H
ace,5,H,H,D,D,D,H,H,H,H,H
ace,6,H,D,D,D,D,H,H,H,H,H
ace,7,S,D,D,D,D,S,S,H,H,H
ace,8,S,S,S,S,S,S,S,S,S,S
ace,9,S,S,S,S,S,S,S,S,S,S
ace,10,B,B,B,B,B,B,B,B,B,B
pair,ace,P,P,P,P,P,P,P,P,P,P
pair,2,P,P,P,P,P,P,H,H,H,H
pair,3,P,P,P,P,P,P,H,H,H,H
pair,4,H,H,H,P,P,H,H,H,H,H
pair,5,D,D,D,D,D,D,D,D,H,H
pair,6,P,P,P,P,P,H,H,H,H,H
pair,7,P,P,P,P,P,P,H,H,H,H
pair,8,P,P,P,P,P,P,P,P,P,P
pair,9,P,P,P,P,P,S,P,P,S,S
pair,10,S,S,S,S,S,S,S,S,S,S